id,yield
15000,6209.832975449814
15001,6922.957048837971
15002,7822.125357104389
15003,6209.832975449814
15004,4022.096423791352
15005,3706.0899868436345
15006,6917.510169241515
15007,5438.483066708248
15008,7820.791037908881
15009,5839.569726995578
15010,5631.227797133996
15011,4373.545480218302
15012,3382.730649057088
15013,7827.143699162822
15014,4684.22452211861
15015,6847.55939350653
15016,4099.497457756359
15017,6209.832975449814
15018,6539.7224150684915
15019,6497.891672456341
15020,6675.4695185664405
15021,4160.064998378203
15022,3969.0135629378383
15023,4551.1177085549225
15024,5614.6718074571145
15025,4932.801726944348
15026,6209.832975449814
15027,4620.657266111651
15028,6357.255617518446
15029,3969.0135629378383
15030,6539.7224150684915
15031,6539.7224150684915
15032,7459.025706365551
15033,8231.158593428834
15034,5867.455413268077
15035,5438.483066708248
15036,5438.483066708248
15037,5840.441044116898
15038,5011.115357092714
15039,5840.292321383418
15040,7410.674625325633
15041,5438.483066708248
15042,4981.92482423562
15043,4895.514050142993
15044,5438.483066708248
15045,5629.63809829316
15046,7410.674625325633
15047,3770.1972296627446
15048,6650.942337868935
15049,6743.852955836151
15050,3311.858692478166
15051,6909.890751912709
15052,6497.891672456341
15053,2708.0911314206287
15054,7411.751270479241
15055,6399.207020924584
15056,7419.471420426684
15057,7823.771881126087
15058,6539.7224150684915
15059,7457.5441344313185
15060,4335.360633830747
15061,5852.726772522621
15062,5438.483066708248
15063,3770.1972296627446
15064,6539.7224150684915
15065,7419.471420426684
15066,7410.674625325633
15067,5599.859518034019
15068,5652.152729409381
15069,7426.75525132072
15070,8213.843530146085
15071,6539.7224150684915
15072,8224.115686355577
15073,8189.620266832952
15074,3311.858692478166
15075,6539.7224150684915
15076,2750.670077867355
15077,5105.167046032491
15078,5626.65050039265
15079,4642.249460839355
15080,6814.346809638442
15081,5438.483066708248
15082,7305.136581167288
15083,4841.952209406732
15084,5597.537687196167
15085,7069.500605228917
15086,7660.481110664666
15087,5836.582129095069
15088,6539.7224150684915
15089,4725.6149309183165
15090,6539.7224150684915
15091,8226.36946068098
15092,7410.674625325633
15093,6997.788082318955
15094,6209.832975449814
15095,3770.1972296627446
15096,4335.360633830747
15097,7418.14300211085
15098,8178.3988990617345
15099,3424.027392743163
15100,6539.7224150684915
15101,6209.0868716647055
15102,3428.0179203699413
15103,7823.176641031641
15104,4848.501966762299
15105,7818.759056272183
15106,6357.255617518446
15107,5869.787683793186
15108,7410.674625325633
15109,5438.483066708248
15110,3428.0179203699413
15111,7007.4449662262305
15112,5616.95263197392
15113,5471.378666788228
15114,3770.1972296627446
15115,5839.569726995578
15116,6776.5114489880925
15117,6904.001394500839
15118,6209.629886454677
15119,5438.483066708248
15120,7474.111706712224
15121,5629.63809829316
15122,5003.910624047167
15123,7059.843721321642
15124,6924.666045199719
15125,6922.957048837971
15126,5438.483066708248
15127,7007.4449662262305
15128,6209.832975449814
15129,7410.674625325633
15130,6906.931535700088
15131,6209.832975449814
15132,3716.0950941298074
15133,4447.2355150929225
15134,5839.569726995578
15135,7419.471420426684
15136,5602.295603370735
15137,6209.832975449814
15138,8215.69185365942
15139,3428.0179203699413
15140,5471.378666788228
15141,6497.891672456341
15142,5471.378666788228
15143,5074.885319191736
15144,5658.644255188355
15145,4335.360633830747
15146,6209.832975449814
15147,5438.483066708248
15148,4658.271924198941
15149,2599.1635040678157
15150,6914.5800280422645
15151,5438.483066708248
15152,4012.3303380118846
15153,5038.575116351108
15154,4083.0078011873948
15155,5485.164639159156
15156,6818.161436199007
15157,4653.257447097595
15158,6208.821809808337
15159,8209.643024835588
15160,5069.1582564990385
15161,7801.371311187078
15162,4966.079959964205
15163,6762.538120384378
15164,6539.7224150684915
15165,7822.243063029959
15166,3960.651695418301
15167,7305.136581167288
15168,5901.139713064203
15169,5630.367353621758
15170,5626.65050039265
15171,3311.858692478166
15172,4096.925082335901
15173,5438.483066708248
15174,4335.360633830747
15175,6211.983342947782
15176,5471.378666788228
15177,6595.34573088312
15178,7667.550643770051
15179,6539.7224150684915
15180,6539.7224150684915
15181,5858.59641810336
15182,2835.748502188346
15183,6758.723493823813
15184,4954.123144393832
15185,6818.161436199007
15186,5438.483066708248
15187,5438.483066708248
15188,7459.025706365551
15189,4841.952209406732
15190,5437.826186561372
15191,5656.352172165648
15192,4980.282071282876
15193,5478.453660320957
15194,7680.642411381937
15195,3770.1972296627446
15196,7410.674625325633
15197,6209.832975449814
15198,5629.63809829316
15199,6539.7224150684915
15200,7302.407890058806
15201,5438.483066708248
15202,6579.428238129831
15203,4906.141936363487
15204,3756.2699332649845
15205,4805.630188629042
15206,3960.651695418301
15207,7410.674625325633
15208,5494.097345274478
15209,6212.212681533663
15210,8189.620266832952
15211,6922.619007231591
15212,6209.832975449814
15213,6357.255617518446
15214,3311.858692478166
15215,6539.7224150684915
15216,7410.674625325633
15217,6690.904103775263
15218,6396.189988470437
15219,7836.225559400572
15220,6209.629886454677
15221,6814.346809638442
15222,5631.227797133996
15223,6462.430166192335
15224,5471.378666788228
15225,5628.240199233487
15226,6357.255617518446
15227,5914.20343196041
15228,8175.762954529029
15229,5139.92421595442
15230,4160.064998378203
15231,4335.360633830747
15232,7737.438971112502
15233,7410.674625325633
15234,4620.657266111651
15235,5845.45719106904
15236,7459.025706365551
15237,5626.65050039265
15238,3770.1972296627446
15239,6539.7224150684915
15240,7457.5441344313185
15241,5599.859518034019
15242,3311.858692478166
15243,6208.2787950183665
15244,4679.173677979518
15245,6210.6410520961535
15246,8209.655044390402
15247,4335.360633830747
15248,3311.858692478166
15249,5837.690412348988
15250,6755.015903203367
15251,6208.2787950183665
15252,7410.674625325633
15253,6539.7224150684915
15254,4335.360633830747
15255,6539.7224150684915
15256,6208.821809808337
15257,3759.6506114797007
15258,5602.295603370735
15259,4099.497457756359
15260,4625.241442171069
15261,5839.569726995578
15262,5597.537687196167
15263,7412.1561972598665
15264,5656.352172165648
15265,6539.7224150684915
15266,5157.321172161737
15267,6579.428238129831
15268,4094.246628493449
15269,7677.805066067595
15270,5471.378666788228
15271,7305.45674480106
15272,5148.2290419717865
15273,4012.3303380118846
15274,4449.776207411598
15275,7059.843721321642
15276,6539.7224150684915
15277,4160.064998378203
15278,6210.6410520961535
15279,4091.363606462114
15280,6805.949319151305
15281,4627.905728598352
15282,7410.674625325633
15283,4012.3303380118846
15284,6579.428238129831
15285,7059.843721321642
15286,7457.5441344313185
15287,5602.295603370735
15288,6539.7224150684915
15289,8288.185098281161
15290,7370.500849644926
15291,7410.674625325633
15292,5154.117247426608
15293,4726.845381672146
15294,7436.8675558120185
15295,5471.378666788228
15296,6912.263652608249
15297,6906.96061071346
15298,6492.354636270179
15299,5686.622352818569
15300,5438.483066708248
15301,5632.958330125116
15302,6502.585313043768
15303,8215.750033279974
15304,7001.062693453453
15305,8145.64239164207
15306,6357.255617518446
15307,4843.0455556707775
15308,3428.0179203699413
15309,3706.0899868436345
15310,8154.171341353242
15311,6539.7224150684915
15312,7305.136581167288
15313,4981.0981075619475
15314,7410.674625325633
15315,8216.691706591288
15316,7412.1561972598665
15317,3716.0950941298074
